,equity
2017-09-22,1304.7107044667653
2017-09-25,1298.9600151124998
2017-09-26,1296.9078014752736
2017-09-27,1299.107102325951
2017-09-28,1302.8519314048888
2017-09-29,1303.9303254328165
2017-10-02,1305.1734144643494
2017-10-03,1310.2426064023682
2017-10-04,1309.0940722348878
2017-10-05,1317.8972243205747
2017-10-06,1315.0871266338074
2017-10-09,1314.8923660976131
2017-10-10,1318.9591620776855
2017-10-11,1324.1017307750426
2017-10-12,1321.6516901424131
2017-10-13,1320.2604014986862
2017-10-16,1327.412682631478
2017-10-17,1323.3121841116747
2017-10-18,1322.2505489371513
2017-10-19,1318.2890222533915
2017-10-20,1330.6672162357543
2017-10-23,1326.8115801898696
2017-10-24,1340.2508455728002
2017-10-25,1327.8722883144092
2017-10-26,1331.1056768582596
2017-10-27,1334.2250148080734
2017-10-30,1332.546020737611
2017-10-31,1333.0172818938909
2017-11-01,1334.8142718321023
2017-11-02,1332.4931493102376
2017-11-03,1341.7206210073055
2017-11-06,1342.7354305740892
2017-11-07,1342.4430332224088
2017-11-08,1342.7143044382415
2017-11-09,1338.9455160110313
2017-11-10,1344.0374568208058
2017-11-13,1344.1340250028452
2017-11-14,1346.3301256987413
2017-11-15,1328.0819694389427
2017-11-16,1356.0632986415944
2017-11-17,1345.6835426933376
2017-11-20,1347.8365465331162
2017-11-21,1359.1502690588325
2017-11-22,1359.0050349571557
2017-11-24,1370.2858521594856
2017-11-27,1372.753803248629
2017-11-28,1381.5316366417737
2017-11-29,1370.2065905756544
2017-11-30,1389.613261307981
2017-12-01,1384.8250062901284
2017-12-04,1393.2491056418946
2017-12-05,1385.1816155140987
2017-12-06,1382.8087588894953
2017-12-07,1389.1772914157496
2017-12-08,1399.3901116864783
2017-12-11,1397.1739040935142
2017-12-12,1408.0608586997666
2017-12-13,1415.7871984384224
2017-12-14,1408.2905281034152
2017-12-15,1414.9038232741993
2017-12-18,1424.3075595712344
2017-12-19,1428.056198463218
2017-12-20,1429.8884624860448
2017-12-21,1435.7332605704946
2017-12-22,1434.6283635604539
2017-12-26,1438.5720673896474
2017-12-27,1441.2951161700887
2017-12-28,1444.4562363343875
2017-12-29,1436.551141920249
2018-01-02,1439.1348544165687
2018-01-03,1454.309200520495
2018-01-04,1462.2782467977322
2018-01-05,1480.0243769039907
2018-01-08,1497.5882312244214
2018-01-09,1505.2425837715903
2018-01-10,1508.2597118229942
2018-01-11,1528.8779496839288
2018-01-12,1547.6089965712313
2018-01-16,1539.5064263951067
2018-01-17,1561.955955878424
2018-01-18,1553.8502671960982
2018-01-19,1562.8463713192136
2018-01-22,1572.2630842146227
2018-01-23,1583.1957271122287
2018-01-24,1581.6221334959341
2018-01-25,1582.527508469591
2018-01-26,1605.7318547073735
2018-01-29,1611.3487066240432
2018-01-30,1589.1032935478695
2018-01-31,1595.812322841125
2018-02-01,1579.6674010964812
2018-02-02,1552.1142689622511
2018-02-05,1511.9224026789855
2018-02-06,1511.9224026789855
2018-02-07,1511.9224026789855
2018-02-08,1511.9224026789855
2018-02-09,1511.9224026789855
2018-02-12,1511.9224026789855
2018-02-13,1511.9224026789855
2018-02-14,1511.9224026789855
2018-02-15,1511.1096698939436
2018-02-16,1508.2306286432556
2018-02-20,1509.9119354883483
2018-02-21,1503.850856591298
2018-02-22,1506.9521920990724
2018-02-23,1512.1847886559267
2018-02-26,1525.323167818567
2018-02-27,1519.7657113858431
2018-02-28,1510.200377819178
2018-03-01,1482.5612881125662
2018-03-02,1480.0749641673242
2018-03-05,1488.0731864819677
2018-03-06,1494.7648636996419
2018-03-07,1491.8930452092322
2018-03-08,1495.3706595580252
2018-03-09,1515.3206040576133
2018-03-12,1522.9810685767325
2018-03-13,1513.7376089217337
2018-03-14,1509.1608367163808
2018-03-15,1509.4633759345206
2018-03-16,1508.3449969210778
2018-03-19,1486.84401302764
2018-03-20,1493.3530000338274
2018-03-21,1490.712877603506
2018-03-22,1476.7798628222222
2018-03-23,1468.5870275372513
2018-03-26,1468.5870275372513
2018-03-27,1468.5870275372513
2018-03-28,1468.5870275372513
2018-03-29,1468.5870275372513
2018-04-02,1468.5870275372513
2018-04-03,1468.5870275372513
2018-04-04,1468.5870275372513
2018-04-05,1468.5870275372513
2018-04-06,1468.5870275372513
2018-04-09,1468.5870275372513
2018-04-10,1468.5870275372513
2018-04-11,1468.5870275372513
2018-04-12,1468.5870275372513
2018-04-13,1468.5870275372513
2018-04-16,1468.5870275372513
2018-04-17,1470.137653336999
2018-04-18,1468.3863813403796
2018-04-19,1460.2818224352457
2018-04-20,1445.2957669730758
2018-04-23,1444.571251509056
2018-04-24,1423.0205157973862
2018-04-25,1421.6410157577134
2018-04-26,1450.4147997981086
2018-04-27,1462.2823255145086
2018-04-30,1448.3580148455633
2018-05-01,1453.9988797396672
2018-05-02,1438.268656407453
2018-05-03,1446.7889933215154
2018-05-04,1457.6089031909003
2018-05-07,1466.6136916299229
2018-05-08,1463.485092014444
2018-05-09,1472.4828755151157
2018-05-10,1484.6002456010228
2018-05-11,1488.9918485703834
2018-05-14,1494.7385368951207
2018-05-15,1481.5936394540197
2018-05-16,1487.1362355866795
2018-05-17,1484.325955072153
2018-05-18,1489.4961030480745
2018-05-21,1509.2201182687168
2018-05-22,1499.1700231095676
2018-05-23,1510.528728977335
2018-05-24,1507.5922822625523
2018-05-25,1511.1212106835726
2018-05-29,1498.0058854440097
2018-05-30,1510.8935317040805
2018-05-31,1502.8655415185335
2018-06-01,1518.4755929925327
